Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Bournemouth,Nathan Aké,nl NED,DF,22,37.3,20,0.54,17,0,3,0,0,0,5,0.13,5,0,0,0,0,0
2017-2018,EPL,Bournemouth,Charlie Daniels,eng ENG,"DF,MF",30,33.4,57,1.71,43,10,0,2,0,2,4,0.12,3,0,0,1,0,0
2017-2018,EPL,Bournemouth,Steve Cook,eng ENG,DF,26,30.7,26,0.85,17,5,0,2,1,1,3,0.1,2,0,0,1,0,0
2017-2018,EPL,Bournemouth,Simon Francis,eng ENG,DF,32,30.1,46,1.53,40,2,2,1,0,1,2,0.07,1,0,0,1,0,0
2017-2018,EPL,Bournemouth,Joshua King,no NOR,"FW,MF",25,27.3,86,3.16,59,0,8,2,13,4,9,0.33,5,0,2,0,2,0
2017-2018,EPL,Bournemouth,Lewis Cook,eng ENG,MF,20,24.9,65,2.62,53,5,3,2,1,1,6,0.24,6,0,0,0,0,0
2017-2018,EPL,Bournemouth,Ryan Fraser,sct SCO,"MF,DF",23,22.3,71,3.19,52,12,1,2,4,0,5,0.22,3,1,0,0,1,0
2017-2018,EPL,Bournemouth,Callum Wilson,eng ENG,FW,25,22,47,2.13,32,3,2,5,5,0,7,0.32,6,0,0,0,1,0
2017-2018,EPL,Bournemouth,Adam Smith,eng ENG,"DF,MF",26,23,53,2.3,39,3,8,1,1,1,6,0.26,5,0,1,0,0,0
2017-2018,EPL,Bournemouth,Jordon Ibe,eng ENG,"MF,FW",21,22.2,90,4.06,50,22,9,5,3,1,10,0.45,5,3,1,0,1,0
2017-2018,EPL,Bournemouth,Dan Gosling,eng ENG,MF,27,21.6,46,2.13,36,0,4,3,2,1,1,0.05,1,0,0,0,0,0
2017-2018,EPL,Bournemouth,Andrew Surman,eng ENG,MF,30,20.6,42,2.04,33,3,2,2,2,0,8,0.39,3,3,1,1,0,0
