Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,Andrés Iniesta,MF,es Spain,31,1984,4,4,360,4,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25
2016,Lorenzo Insigne,"FW,MF",it Italy,24,1991,3,0,41,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Andreas Isaksson,GK,se Sweden,34,1981,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Marc Janko,FW,at Austria,32,1983,2,1,109,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Jakob Jantscher,"FW,MF",at Austria,27,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Artur J?drzejczyk,DF,pl Poland,28,1987,5,5,510,5.7,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Tin Jedvaj,DF,hr Croatia,20,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Tomasz Jod?owiec,MF,pl Poland,30,1985,5,1,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Juanfran,DF,es Spain,31,1985,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Roland Juhász,DF,hu Hungary,32,1983,3,3,251,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Zlatko Junuzovi?,MF,at Austria,28,1987,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ergys Kaçe,MF,al Albania,22,1993,1,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Tamás Kádár,DF,hu Hungary,25,1990,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Pavel Kade?ábek,DF,cz Czechia,23,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Nikola Kalini?,FW,hr Croatia,28,1988,2,1,123,1.4,1,1,2,1,0,0,0,0,0.73,0.73,1.46,0.73,1.46
2016,Kim Källström,MF,se Sweden,33,1982,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Harry Kane,FW,eng England,22,1993,4,3,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,N'Golo Kanté,MF,fr France,24,1991,4,3,245,2.7,0,1,1,0,0,0,3,0,0,0.37,0.37,0,0.37
2016,Bartosz Kapustka,MF,pl Poland,19,1996,4,2,207,2.3,0,0,0,0,0,0,3,0,0,0,0,0,0
2016,Robbie Keane,FW,ie Rep. of Ireland,35,1980,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Richard Keogh,DF,ie Rep. of Ireland,29,1986,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Claudiu Ke?erü,FW,ro Romania,29,1986,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Yevhen Khacheridi,DF,ua Ukraine,28,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sami Khedira,MF,de Germany,28,1987,5,5,338,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Joshua Kimmich,"DF,MF",de Germany,20,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Andy King,MF,wls Wales,27,1988,3,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Gábor Király,GK,hu Hungary,39,1976,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
