Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2021,Albania ,Emanuele Ndoj,MF,24,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Iván Balliu,MF,29,1,1,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Kristi Qose,MF,25,2,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Taulant Seferi,"FW,MF",24,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Marash Kumbulla,DF,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Lindon Selahi,MF,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Kristal Abazaj,FW,24,0,0,,,,,,,,,,,,,,,
2021,Albania ,Arlind Ajeti,DF,27,0,0,,,,,,,,,,,,,,,
2021,Albania ,Egzon Binaku,DF,25,0,0,,,,,,,,,,,,,,,
2021,Albania ,Alban Hoxha,GK,33,0,0,,,,,,,,,,,,,,,
2021,Albania ,Hysen Memolla,DF,28,0,0,,,,,,,,,,,,,,,
2021,Albania ,Enea Mihaj,DF,22,0,0,,,,,,,,,,,,,,,
2021,Albania ,Gentian Selmani,GK,22,0,0,,,,,,,,,,,,,,,
2022,Albania ,Elseid Hysaj,"MF,DF",27,9,9,800,8.9,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11
2022,Albania ,Keidi Bare,MF,24,8,8,607,6.7,0,2,2,0,0,0,2,0,0,0.3,0.3,0,0.3
2022,Albania ,Myrto Uzuni,"FW,MF",26,10,7,639,7.1,2,1,3,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42
2022,Albania ,Ardian Ismajli,DF,25,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0
2022,Albania ,Berat Djimsiti,DF,28,7,7,569,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2022,Albania ,Marash Kumbulla,DF,21,7,7,556,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Albania ,Etrit Berisha,GK,32,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Albania ,Lorenc Trashi,MF,29,6,6,349,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0
2022,Albania ,Klaus Gjasula,MF,32,6,5,482,5.4,0,1,1,0,0,0,6,0,0,0.19,0.19,0,0.19
2022,Albania ,Rey Manaj,"FW,MF",24,7,5,450,5,2,0,2,2,0,0,2,0,0.4,0,0.4,0.4,0.4
2022,Albania ,Sokol Cikalleshi,FW,31,6,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0,0.24,0.24,0.24
2022,Albania ,Qazim Laçi,"MF,DF",26,7,4,429,4.8,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21
2022,Albania ,Freddie Veseli,DF,29,5,4,421,4.7,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21
2022,Albania ,Thomas Strakosha,GK,26,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Albania ,Ylber Ramadani,MF,25,6,3,302,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0
2022,Albania ,Nedim Bajrami,"MF,FW",22,6,3,246,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Albania ,Odise Roshi,"MF,FW",30,8,2,340,3.8,0,2,2,0,0,0,2,0,0,0.53,0.53,0,0.53
2022,Albania ,Armando Broja,FW,20,7,2,229,2.5,3,2,5,3,0,0,1,0,1.18,0.79,1.97,1.18,1.97
2022,Albania ,Ermir Lenjani,"MF,FW",32,5,2,225,2.5,1,0,1,1,0,0,0,0,0.4,0,0.4,0.4,0.4
2022,Albania ,Enea Mihaj,DF,23,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
