SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
3,0.35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_aleksandardragovic
2,0.37,0,1,0,0,1,0,1,0.18,0,1,0,0,0,0,2017-2018_danielamartey
24,3.68,18,0,3,1,2,0,4,0.61,4,0,0,0,0,0,2017-2018_foussenidiabate
8,1.34,6,0,0,0,2,0,1,0.17,0,0,0,0,1,0,2017-2018_andyking
2,0.48,1,1,0,0,0,0,1,0.24,1,0,0,0,0,0,2017-2018_hamzachoudhury
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_benhamer
9,3.25,6,1,2,0,0,0,3,1.08,2,0,1,0,0,0,2017-2018_islamslimani
2,1,2,0,0,0,0,0,1,0.5,1,0,0,0,0,0,2017-2018_eldinjakupovic
2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_yohanbenalouane
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_leonardoulloa
1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_harveybarnes
17,0.52,15,1,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_jamaallascelles
106,3.4,63,25,5,6,6,1,8,0.26,3,4,0,1,0,0,2017-2018_mattritchie
55,1.74,48,4,1,1,1,0,2,0.06,2,0,0,0,0,0,2017-2018_deandreyedlin
85,3.07,61,0,3,8,9,4,10,0.36,7,0,0,3,0,0,2017-2018_ayozeperez
82,3.25,57,18,3,3,0,1,7,0.28,4,2,0,1,0,0,2017-2018_jonjoshelvey
19,0.81,15,0,1,1,1,1,3,0.13,3,0,0,0,0,0,2017-2018_florianlejeune
39,1.72,26,0,5,2,0,6,0,0,0,0,0,0,0,0,2017-2018_mohameddiame
47,2.16,36,0,1,6,4,0,6,0.28,5,0,0,1,0,0,2017-2018_dwightgayle
27,1.38,18,5,1,1,2,0,2,0.1,2,0,0,0,0,0,2017-2018_javiermanquillo
54,2.72,38,1,8,1,5,1,6,0.3,3,0,1,1,1,0,2017-2018_christianatsu
14,0.72,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0,2017-2018_ciaranclark
40,2.1,33,0,1,2,4,0,1,0.05,1,0,0,0,0,0,2017-2018_joselu
13,0.73,12,0,0,1,0,0,2,0.11,2,0,0,0,0,0,2017-2018_pauldummett
2,0.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_robelliot
28,1.83,22,0,2,2,0,2,2,0.13,2,0,0,0,0,0,2017-2018_isaachayden
47,3.14,41,1,0,2,1,2,4,0.27,3,0,0,1,0,0,2017-2018_mikelmerino
28,2.2,18,1,4,3,2,0,3,0.24,2,0,0,1,0,0,2017-2018_jacobmurphy
38,3.34,20,7,5,3,2,1,3,0.26,1,1,0,1,0,0,2017-2018_kenedy
3,0.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_martindubravka
3,0.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_karldarlow
12,1.61,7,3,2,0,0,0,0,0,0,0,0,0,0,0,2017-2018_chancelmbemba
1,0.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_rolandoaarons
8,5.45,6,0,1,0,1,0,1,0.68,1,0,0,0,0,0,2017-2018_islamslimani
7,6.43,5,1,1,0,0,0,1,0.92,1,0,0,0,0,0,2017-2018_jesusgamez
1,1.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_henrisaivet
5,4.79,4,0,1,0,0,0,1,0.96,0,0,1,0,0,0,2017-2018_aleksandarmitrovic
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_massadiohaidara
138,3.98,80,20,16,7,10,5,11,0.32,8,1,0,0,2,0,2017-2018_androstownsend
58,1.69,41,8,0,3,3,3,5,0.15,4,0,0,1,0,0,2017-2018_lukamilivojevic
139,4.91,79,0,35,6,17,2,14,0.49,9,0,3,0,2,0,2017-2018_wilfriedzaha
84,3.18,37,34,2,3,5,3,6,0.23,3,1,0,1,1,0,2017-2018_yohancabaye
53,1.96,47,0,1,4,1,0,2,0.07,1,0,0,1,0,0,2017-2018_jamesmcarthur
5,0.19,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,2017-2018_waynehennessey
7,0.26,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0,2017-2018_jamestomkins
46,1.9,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0,2017-2018_patrickvanaanholt
68,2.73,43,0,5,12,8,0,13,0.52,8,0,1,1,3,0,2017-2018_christianbenteke
73,3.51,48,0,12,3,8,2,8,0.38,5,0,1,1,1,0,2017-2018_rubenloftus-cheek
35,1.81,25,4,4,1,1,0,4,0.21,2,1,0,1,0,0,2017-2018_jeffreyschlupp
