Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
762,36,245,313,210,19,762,25,20,80,5,425,1881,937,21,18,5,18,14,478,58,2017-2018_ainsleymaitland-niles
147,136,147,0,0,0,147,0,0,,0,76,521,418,0,1,1,0,0,50,0,2017-2018_davidospina
288,28,141,140,9,4,288,0,0,,0,158,484,257,0,0,0,2,1,179,1,2017-2018_permertesacker
203,8,43,85,85,4,203,21,17,81,4,125,1178,667,19,18,5,5,4,125,21,2017-2018_alexoxlade-chamberlain
126,12,69,57,1,1,126,1,1,100,0,72,375,226,1,0,0,0,0,79,0,2017-2018_konstantinosmavropanos
102,3,13,35,54,4,102,3,1,33.3,2,66,379,160,3,12,0,5,1,78,13,2017-2018_reissnelson
185,5,18,64,104,37,185,1,1,100,0,85,204,77,3,0,0,13,5,150,39,2017-2018_oliviergiroud
107,4,27,66,15,0,107,1,1,100,0,67,286,130,1,0,0,1,2,79,1,2017-2018_franciscoquelin
54,1,11,35,8,1,54,0,0,,0,30,204,59,1,0,0,2,2,39,3,2017-2018_joewillock
26,0,4,8,14,1,26,1,1,100,0,17,116,64,3,1,0,0,1,22,9,2017-2018_theowalcott
10,0,0,4,6,1,10,0,0,,0,10,26,5,0,0,0,1,1,9,0,2017-2018_eddienketiah
1959,91,394,1281,315,21,1959,42,31,73.8,11,966,4955,1898,39,40,2,67,44,1159,41,2017-2018_jackcork
1307,1005,1238,70,0,0,1307,0,0,,0,584,4470,3278,0,1,1,0,0,367,0,2017-2018_nickpope
1333,35,196,506,656,58,1333,65,37,56.9,28,701,4514,2123,83,53,17,47,45,763,192,2017-2018_johannberggumundsson
1521,242,805,668,59,38,1521,13,11,84.6,2,622,2848,1578,5,6,1,13,7,736,8,2017-2018_jamestarkowski
1476,213,776,642,64,41,1476,3,3,100,0,639,2680,1505,5,6,0,9,3,725,3,2017-2018_benmee
1005,22,122,565,330,47,1005,32,24,75,8,577,2810,1281,37,27,5,44,34,705,114,2017-2018_jeffhendrick
1574,109,475,758,346,17,1574,8,5,62.5,3,592,2917,1506,47,26,2,18,6,758,91,2017-2018_stephenward
1464,140,468,696,308,11,1464,17,11,64.7,6,505,2287,1206,18,28,1,17,10,642,69,2017-2018_matthewlowton
1256,40,247,829,195,6,1256,16,13,81.3,3,664,3651,1981,38,29,2,23,7,766,30,2017-2018_stevendefour
797,21,79,337,394,94,797,25,16,64,9,464,2070,571,17,15,16,76,44,608,127,2017-2018_ashleybarnes
595,20,42,249,307,70,595,10,6,60,4,329,1177,318,15,11,11,57,35,502,117,2017-2018_chriswood
781,116,443,306,35,24,781,0,0,,0,274,1111,483,1,0,0,6,2,328,1,2017-2018_kevinlong
517,23,121,230,174,28,517,26,14,53.8,12,257,1287,538,16,11,5,23,15,288,47,2017-2018_scottarfield
731,25,99,316,323,18,731,25,16,64,9,348,2126,1013,32,30,8,18,20,409,67,2017-2018_robbiebrady
742,70,234,381,132,3,742,5,3,60,2,251,1027,402,7,3,0,9,9,275,7,2017-2018_philbardsley
410,15,69,159,186,28,410,19,10,52.6,9,231,1324,719,26,10,10,8,22,254,60,2017-2018_aaronlennon
709,26,133,466,117,7,709,4,2,50,2,331,1243,502,8,7,2,6,5,430,6,2017-2018_ashleywestwood
588,50,221,260,112,2,588,18,8,44.4,10,222,1453,644,19,10,1,10,3,246,21,2017-2018_charlietaylor
379,17,28,169,184,59,379,1,1,100,0,140,435,101,3,3,0,29,16,304,62,2017-2018_samvokes
126,94,116,10,0,0,126,0,0,,0,40,327,242,0,0,0,0,0,31,0,2017-2018_tomheaton
137,1,21,53,66,8,137,15,6,40,9,90,810,319,13,12,3,5,13,89,15,2017-2018_georges-kevinnkoudou
29,0,5,7,17,5,29,1,1,100,0,16,77,40,2,1,1,2,3,18,5,2017-2018_nahkiwells
15,1,2,2,11,4,15,0,0,,0,9,30,7,0,0,0,2,2,15,6,2017-2018_jonathanwalters
,,,,,,,,,,,,,,,,,,,,,2017-2018_aidenoneill
1432,1206,1417,14,1,1,1432,0,0,,0,650,4881,3511,0,0,0,1,0,484,0,2017-2018_jordanpickford
1961,59,443,1220,320,11,1961,27,18,66.7,9,1009,5042,2344,26,28,2,42,32,1168,27,2017-2018_idrissaganagueye
1555,214,846,656,60,28,1555,7,7,100,0,694,3662,2227,11,13,1,15,3,797,3,2017-2018_michaelkeane
1474,48,230,856,402,43,1468,23,9,39.1,14,813,3760,1586,26,29,2,37,57,1042,91,2017-2018_waynerooney
1131,35,182,455,503,59,1131,31,20,64.5,11,513,2237,960,29,16,10,53,25,620,110,2017-2018_gylfisigursson
1381,69,355,897,146,11,1381,11,6,54.5,5,694,3096,1319,15,15,1,26,12,807,8,2017-2018_morganschneiderlin
1302,155,696,575,37,19,1302,2,1,50,1,566,2264,1047,4,4,1,8,4,660,3,2017-2018_philjagielka
1159,49,325,529,316,15,1157,14,8,57.1,6,502,2143,1285,31,22,3,9,10,662,61,2017-2018_leightonbaines
924,24,158,443,332,26,924,37,26,70.3,11,559,2987,1227,36,22,6,51,39,631,70,2017-2018_tomdavies
1030,169,569,433,33,21,1030,2,2,100,0,460,1919,978,2,5,0,5,1,521,1,2017-2018_ashleywilliams
1308,92,468,565,281,8,1308,4,2,50,2,505,2163,1191,28,15,0,11,9,598,74,2017-2018_cucomartina
763,22,65,303,408,77,763,43,21,48.8,22,397,2569,993,42,30,16,70,40,599,125,2017-2018_dominiccalvert-lewin
1069,78,353,419,305,9,1069,16,6,37.5,10,410,1639,739,16,16,0,21,6,469,51,2017-2018_jonjoekenny
721,78,305,322,98,14,721,12,8,66.7,4,288,1379,871,8,6,2,11,3,374,25,2017-2018_masonholgate
501,13,82,194,246,46,501,46,27,58.7,19,325,2272,1201,35,25,8,40,22,324,99,2017-2018_theowalcott
635,50,198,260,187,15,635,36,25,69.4,11,280,2136,1098,34,24,3,15,14,318,44,2017-2018_seamuscoleman
376,14,34,145,201,33,376,8,4,50,4,217,728,284,9,11,6,33,12,283,69,2017-2018_cenktosun
391,5,49,130,221,25,391,36,17,47.2,19,257,1939,961,39,24,5,30,25,269,52,2017-2018_yannickbolasie
438,10,25,138,279,82,438,36,20,55.6,16,272,1541,562,21,11,15,64,24,333,106,2017-2018_oumarniasse
309,6,57,127,128,15,309,18,5,27.8,13,146,852,489,17,8,9,11,10,187,33,2017-2018_aaronlennon
304,6,49,110,150,19,304,19,13,68.4,6,176,1191,554,22,11,7,28,12,188,49,2017-2018_nikolavlasic
126,2,10,53,63,10,126,7,3,42.9,4,72,330,85,1,0,1,15,6,100,21,2017-2018_sandroramirez
122,1,21,59,44,3,122,1,0,0,1,52,176,82,1,3,0,4,1,77,4,2017-2018_davyklaassen
130,3,18,81,33,1,130,3,3,100,0,56,197,55,0,1,0,3,1,61,4,2017-2018_jamesmccarthy
74,1,8,31,36,9,74,3,2,66.7,1,44,398,238,10,4,3,3,3,57,11,2017-2018_kevinmirallas
85,5,39,39,8,3,85,2,2,100,0,56,350,232,3,1,0,0,2,52,0,2017-2018_eliaquimmangala
107,2,17,70,20,0,107,4,1,25,3,54,295,135,1,0,0,1,1,57,3,2017-2018_benibaningime
78,1,15,31,35,4,78,13,8,61.5,5,50,461,196,8,6,4,9,4,53,7,2017-2018_ademolalookman
75,8,43,30,3,1,75,0,0,,0,37,211,114,2,2,0,0,1,35,1,2017-2018_ramirofunesmori
33,2,9,20,4,0,33,0,0,,0,23,136,86,0,0,0,0,2,24,0,2017-2018_muhamedbesic
2183,243,951,1067,201,80,2183,60,51,85,9,1082,8307,4619,58,33,8,25,18,1174,18,2017-2018_harrymaguire
778,16,37,277,475,157,772,57,24,42.1,32,398,2699,1125,51,23,27,63,13,550,211,2017-2018_jamievardy
1880,18,181,921,820,109,1880,158,81,51.3,77,1157,8726,4009,121,100,53,92,64,1302,191,2017-2018_riyadmahrez
1209,935,1155,57,0,0,1209,2,2,100,0,547,4082,3108,0,0,0,0,0,410,0,2017-2018_kasperschmeichel
