GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
5,1.67,10,5,50,1,0,2,0,0,0,0,0,,,2017-2018_leonardonavacchio
3,3,7,4,85.7,0,0,1,0,0,2,2,0,0,,2017-2018_carloshenriques
50,1.47,158,108,69.6,10,8,16,8,23.5,5,2,3,60,,2017-2018_claudioramos
23,1.39,85,62,74.1,6,2,9,3,17.6,1,1,0,0,,2017-2018_murielbecker
12,1.2,42,30,76.2,3,4,3,5,50,2,2,0,0,,2017-2018_andremoreira
10,1.36,36,26,72.2,0,4,3,2,28.6,1,0,1,100,,2017-2018_filipemendes
1,9,1,0,0,0,0,0,0,,0,0,0,,,2017-2018_ricardofernandes
29,1.49,90,61,73.3,6,3,11,7,35,5,5,0,0,,2017-2018_adrianofacchini
22,1.57,63,41,69.8,3,4,7,3,21.4,3,3,0,0,,2017-2018_quim
,,,,,,,,,,0,0,0,,,2017-2018_arturmoraes
47,2.04,125,78,66.4,5,7,11,4,17.4,5,5,0,0,,2017-2018_cristianopereirafigueiredo
15,1.36,47,32,72.3,2,4,5,1,9.1,2,2,0,0,,2017-2018_pedrotrigueira
50,1.47,153,103,71.9,8,8,18,5,14.7,8,7,1,12.5,,2017-2018_jhonatan
46,1.43,151,105,70.2,8,4,20,8,24.2,3,1,0,0,,2017-2018_caiosecco
2,1.03,8,6,87.5,1,0,1,1,100,1,1,0,0,,2017-2018_michamiskiewicz
34,1.7,101,67,68.3,5,5,10,5,25,3,2,1,33.3,,2017-2018_mariofelgueiras
25,1.79,63,38,63.5,2,4,8,3,21.4,3,2,0,0,,2017-2018_rafaeldefendi
35,2.06,87,52,59.8,3,3,11,3,17.6,0,0,0,,,2017-2018_josemoreira
26,1.53,81,55,70.4,5,3,9,4,23.5,4,2,1,33.3,,2017-2018_renanribeiro
23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,,2018-2019_ederson
22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,,,2018-2019_alisson
39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,50,,2018-2019_kepaarrizabalaga
0,0,3,3,100,1,1,0,2,100,0,0,0,,,2018-2019_willycaballero
33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,40,,2018-2019_hugolloris
2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,,,2018-2019_paulogazzaniga
4,2,13,9,69.2,0,0,2,0,0,0,0,0,,,2018-2019_michelvorm
42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,,2018-2019_berndleno
9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,,,2018-2019_petrcech
54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,,2018-2019_daviddegea
46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,0,,2018-2019_ruipatricio
