Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
17,16,1,0,0,0,2,0,1,12,0,0,2017-2018_antoninbobichon
340,278,61,4,0,1,27,57,0,236,1,13,2017-2018_herbertbockhorn
937,855,71,42,4,10,50,5,24,695,11,14,2017-2018_jean-paulboetius
419,390,28,4,2,2,24,8,16,333,1,11,2017-2018_jeremieboga
266,263,2,0,1,0,7,1,1,216,1,7,2017-2018_jeremieboga
134,120,13,6,0,0,1,7,0,93,1,2,2017-2018_lukabogdan
294,261,33,22,0,2,20,0,11,231,0,5,2017-2018_emilbohinen
396,349,45,12,1,1,46,4,29,286,2,12,2017-2018_quentinboisgard
20,17,3,2,0,0,2,0,1,16,0,0,2017-2018_charlesboli
558,548,9,8,0,1,0,1,0,468,1,4,2017-2018_willyboly
1206,1153,47,21,7,14,36,4,17,999,6,18,2017-2018_giacomobonaventura
547,475,70,6,1,19,23,2,11,407,2,19,2017-2018_federicobonazzoli
8,8,0,0,0,0,1,0,0,4,0,2,2017-2018_tarsisbonga
696,662,34,27,2,6,3,5,0,564,0,5,2017-2018_kevinbonifazi
3,3,0,0,0,0,0,0,0,3,0,0,2017-2018_solomonbonnah
